position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
42,put_call_parity,LMT,2026-05-26 20:00:00+00:00,2026-05-28 13:30:00+00:00,2026-06-18 20:00:00+00:00,60096.479999999996,-60000.0,1.9500000000000002,94.52999999999592,113.76266324974632,25.732663249738106,0.8309404623595318,expiry
43,put_call_parity,BA,2026-05-27 20:00:00+00:00,2026-05-29 13:30:00+00:00,2026-07-17 20:00:00+00:00,-21224.079999999998,21500.0,1.9500000000000002,273.9700000000019,128.01368198515613,148.32368198515832,2.1401618620091734,expiry
44,put_call_parity,BA,2026-05-27 20:00:00+00:00,2026-05-29 13:30:00+00:00,2026-06-18 20:00:00+00:00,-21573.11,21750.0,1.9500000000000002,174.93999999999943,125.75554763785915,120.94554763785636,1.3911115913850398,expiry
46,put_call_parity,BA,2026-05-29 20:00:00+00:00,2026-06-01 13:30:00+00:00,2026-06-18 20:00:00+00:00,21671.88,-21500.0,1.9500000000000002,169.93000000000103,20.042876712328972,177.91287671232857,8.478323867325493,expiry
45,put_call_parity,LMT,2026-05-28 20:00:00+00:00,2026-06-01 13:30:00+00:00,2026-06-18 20:00:00+00:00,60139.58,-60000.0,1.9500000000000002,137.63000000000176,350.9825856108085,74.4325856108073,0.39212771699338533,expiry
47,put_call_parity,RTX,2026-06-01 20:00:00+00:00,2026-06-03 13:30:00+00:00,2026-06-18 20:00:00+00:00,-19821.14,20000.0,1.9500000000000002,176.9100000000006,128.75011536810683,139.0101153681091,1.3740570211855796,expiry
48,put_call_parity,LMT,2026-06-03 20:00:00+00:00,2026-06-05 13:30:00+00:00,2026-07-17 20:00:00+00:00,-50294.5,51000.0,1.9500000000000002,703.55,621.6805131322063,444.58051313220784,1.1316906113966987,expiry
49,put_call_parity,LMT,2026-06-03 20:00:00+00:00,2026-06-05 13:30:00+00:00,2026-07-17 20:00:00+00:00,-50919.22,51500.0,1.9500000000000002,578.8299999999988,451.9754201236962,317.3054201236984,1.2806669881330828,expiry
50,put_call_parity,BA,2026-06-04 20:00:00+00:00,2026-06-08 13:30:00+00:00,2026-06-18 20:00:00+00:00,-22191.0,22250.0,1.9500000000000002,57.05,138.32899897829606,22.458998978297313,0.41242256086123485,expiry
51,put_call_parity,RTX,2026-06-09 20:00:00+00:00,2026-06-11 13:30:00+00:00,2026-06-18 20:00:00+00:00,-19313.15,19500.0,1.9500000000000002,184.89999999999856,38.775772098140486,166.12577209814043,4.768441477632512,expiry
52,put_call_parity,RTX,2026-06-11 20:00:00+00:00,2026-06-15 13:30:00+00:00,2026-06-18 20:00:00+00:00,19516.5,-19500.0,1.9500000000000002,14.55,381.11463976604244,12.314639766041363,0.03817748908552007,expiry
53,put_call_parity,RTX,2026-06-15 20:00:00+00:00,2026-06-17 13:30:00+00:00,2026-07-17 20:00:00+00:00,-16164.89,16500.0,1.9500000000000002,333.1600000000006,172.0349428829058,273.4449428829059,1.9365833150929301,expiry
54,put_call_parity,BA,2026-06-22 20:00:00+00:00,2026-06-24 13:30:00+00:00,2026-07-17 20:00:00+00:00,-21926.93,22000.0,1.9500000000000002,71.1199999999997,102.79202423054663,8.82202423054623,0.6918824736877303,expiry
55,put_call_parity,BA,2026-06-23 20:00:00+00:00,2026-06-25 13:30:00+00:00,2026-07-17 20:00:00+00:00,-22038.25,22250.0,1.9500000000000002,209.8,267.9587159005353,149.35871590053574,0.7829564315343134,expiry
56,butterfly,BA,2026-06-23 20:00:00+00:00,2026-06-25 13:30:00+00:00,2026-07-17 20:00:00+00:00,111.30499999999995,38.25000000000003,1.9500000000000002,147.605,157.95750000000018,109.35499999999998,0.9344602187297205,expiry
57,butterfly,BA,2026-06-23 20:00:00+00:00,2026-06-25 13:30:00+00:00,2026-07-17 20:00:00+00:00,120.56333333333328,5.551115123125783e-14,1.9500000000000002,118.61333333333333,139.0200000000001,118.61333333333322,0.8532105692226531,expiry
